101504991,Biotech
0374750,Biotech
9707935,Biotech
0204522,Biotech
101088195,Biotech
101165248,Biotech
9888878,Biotech
9312850,Biotech
9203012,Biotech
101595834,Biotech
101088070,Biotech
101525249,Biotech
101241272,Biotech
101283273,Biotech
101137103,Biotech
101133385,Biotech
101676019,Biotech
9886009,Biotech
101291922,Biotech
19620690R,Biotech
0405571,Biotech
101204366,Biotech
101235338,Biotech
101623819,Biotech
9306181,Biotech
7513702,Biotech
9433356,Biotech
0050452,Biotech
101313589,Biotech
9306253,Biotech
101126530,Biotech
101609393,Biotech
9882735,Biotech
8109978,Biotech
0157313,Chemistry
101247110,Chemistry
101620182,Chemistry
101609037,Chemistry
101620313,Chemistry
8706645,Chemistry
9885358,Chemistry
14730560R,Chemistry
101134327,Chemistry
0370536,Chemistry
0370534,Chemistry
8511078,Chemistry
0372652,Chemistry
0370543,Chemistry
15040080R,Chemistry
0372406,Chemistry
8307156,Chemistry
101294643,Chemistry
9610838,Chemistry
101085550,Chemistry
2985134R,Chemistry
0335405,Chemistry
9513783,Chemistry
100954211,Chemistry
0373152,Chemistry
8914261,Chemistry
101157394,Chemistry
101176026,Chemistry
101124748,Chemistry
9212301,Chemistry
9424805,Chemistry
0366543,Chemistry
7503056,Chemistry
9010412,Chemistry
0375360,Chemistry
101232704,Chemistry
0173225,Chemistry
0043125,Chemistry
9878362,Chemistry
9201341,Chemistry
9504818,Chemistry
2985193R,Chemistry
9890903,Chemistry
101157530,Chemistry
101526034,Chemistry
101088554,Chemistry
101128948,Chemistry
9882736,Chemistry
9882600,Chemistry
8219702,Chemistry
101608648,Chemistry
9712707,Chemistry
101499734,Chemistry
101155473,Chemistry
101154995,Chemistry
100890393,Chemistry
0376425,Chemistry
101124451,Chemistry
100888160,Chemistry
8802365,Chemistry
9424804,Chemistry
101295070,Chemistry
2984816R,Chemistry
101691301,Chemistry
101508602,Chemistry
0372361,History
9708906,History
7909914,History
0144554,History
101130981,History
101320224,History
100888373,History
9513999,History
9013819,History
9808650,History
17340520R,History
101651624,History
0202503,History
101185239,History
9424952,History
8413234,History
9605423,History
0347631,History
9306503,History
9805018,History
8711586,History
8904113,History
0330501,History
7506743,History
1250602,History
21120500R,History
9605018,History
9607541,History
8303081,History
00140360R,History
9892402,Jurisprudence
9891709,Jurisprudence
7703647,Jurisprudence
9877769,Jurisprudence
7808722,Jurisprudence
9891707,Jurisprudence
7902034,Jurisprudence
0375370,Jurisprudence
7703728,Jurisprudence
101092658,Jurisprudence
100883489,Jurisprudence
9508563,Jurisprudence
100892382,Jurisprudence
7703790,Jurisprudence
100890177,Jurisprudence
101180799,Jurisprudence
7703681,Jurisprudence
9892180,Jurisprudence
9881869,Biotech
9886191,Biotech
101616214,Biotech
9885960,Biotech
9891704,Biotech
9426182,Biotech
14810500R,Biotech
0247660,Biotech
100892390,Biotech
0215776,Biotech
7503051,Biotech
9885204,Biotech
9422688,Biotech
9800943,Biotech
8214851,Biotech
7708433,Biotech
0401141,Biotech
0330500,Biotech
7503280,Science
100971574,Science
0375037,Science
9806569,Science
0252052,Science
0410462,Science
7505876,Science
7903371,Science
101653440,Science
0404400,Science
101640192,Science
101563288,Science
0404511,Science
101131163,Science
9602533,Science
101528555,Science
9704130,Science
9812946,Biotech
